id,image,price,name,brand,num
8009293693156,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230719154825-Front-jpg-1.jpg?v=1689779153,5250,Chanel Pastel Green Trendy CC Flap Bag in Chevron Lambskin with Champagne Gold Hardware,Chanel,2
7955077595364,https://cdn.shopify.com/s/files/1/0249/3343/3419/products/P230322105641-Side-jpg-2.jpg?v=1679484321,13250,Hermès Vintage Kelly Bag 32cm in Black Box Leather with Gold Hardware,Hermes,3
8031001739492,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230914141705-Front-jpg-1.jpg?v=1694705066,365,Fendi Mini Grey Metallic Flap Bag with Silver Hardware,Fendi,4
8013046612196,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/Screenshot2023-08-01at11.11.09.png?v=1690884709,720,"Celine Grey, Burgundy and Mustard in Calfskin and Suede Leather Trapeze Hand Bag with Gold Hardware",Celine,5
8031837192420,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230916125715-Front-jpg-1.jpg?v=1694867451,425,Jimmy Choo Ivory Glitter Embellished Emmie Tulle Clutch Bag with Silver Hardware,Jimmy Choo,6
7991825039588,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230615182146-Front-jpg-1.jpg?v=1694791349,6250,"*HOT* Chanel Emerald Green Jumbo Classic Double Flap Bag in Lambskin Leather with Brushed Gold Hardware RRP £9,240",Chanel,7
7958477570276,https://cdn.shopify.com/s/files/1/0249/3343/3419/products/P230330152754-Front-jpg-1.jpg?v=1680192936,10750,*COLLECTORS* Chanel Black Glittered Plexiglass Robot Minaudière Bag with Silver Hardware,Chanel,8
8022617850084,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230821151955-Side-jpg-1.jpg?v=1692628836,16450,*HOLY GRAIL* Hermès Birkin Retourne Bag 30cm Gold in Togo Leather with Palladium Hardware,Hermes,1
8026294943972,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230901143621-Front-jpg-1.jpg?v=1695474870,6150,Chanel Black Timeless Backpack Bag in Lambskin Leather Champagne Gold Hardware,Chanel,2
8034723201252,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230923113921-Front-jpg-1.jpg?v=1695468750,3950,*HOT* Chanel Emerald Green Small Boy Bag in Lambskin Leather and Ruthenium Hardware,Chanel,3
8034729984228,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230923154258-Front-jpg-3.jpg?v=1695481358,4250,*NEW SIZE* Chanel Lilac Canvas Small Deauville Tote Bag with CC Logo Print and Silver Hardware,Chanel,4
8021601943780,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230817140441-Front-jpg-1.jpg?v=1692279146,6950,Chanel Classic Black Medium Lambskin Double Flap Bag with Gold Hardware,Chanel,5
8011998101732,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230724160201-Front-jpg-1.jpg?v=1690218192,2650,Chanel Black Satin Long-Line Clutch Bag with Brushed Gold Hardware and CC Detail,Chanel,6
7976241201380,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230511101622-Front-jpg-1.jpg?v=1683802403,5950,"Chanel Black Caviar Jumbo Classic Double Flap Bag with Gold Hardware RRP £9,240",Chanel,8
7994225000676,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/Screenshot2023-09-02at10.34.16.png?v=1693647982,2650,Chanel Black Caviar GST Grand Shopper Tote Bag with Gold Hardware,Chanel,1
8003700162788,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230707143223-Front-jpg-2.jpg?v=1688739641,27950,*RARE* Hermès Birkin Bag 35cm in Crocodile Shiny Porosus Vert Anis Colour with Palladium Hardware,Hermes,2
8022672965860,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230821153303-Side-jpg-1.jpg?v=1692630718,5350,Hermès Lindy Bag 30cm in Rouge Galance in Togo Leather with Palladium Hardware,Hermes,3
8009299919076,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230719144339-Front-jpg-1.jpg?v=1689776651,4250,*HOT* Chanel Raffia Vanity 21P Beige and Black Cross-Body Bag with Champagne Gold Hardware,Chanel,4
7947292049636,https://cdn.shopify.com/s/files/1/0249/3343/3419/products/P230306134118-Side-jpg-1.jpg?v=1678111159,1100,Bottega Veneta Racing Green Pouch Bag with Silver Hardware,Bottega Veneta,5
8017958830308,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230808124715-Side-JPEG-1.jpg?v=1691500367,2850,"Christian Dior White Cannage Embroidery Medium Lady D-Lite Bag with Silver Hardware RRP £4,000",Christian Dior,6
7963873640676,https://cdn.shopify.com/s/files/1/0249/3343/3419/products/P230412131217-Front-jpg-2.jpg?v=1681305163,3150,Chanel Vintage White Mini Envelope Flap Bag with 24k Gold Hardware,Chanel,7
7916819251428,https://cdn.shopify.com/s/files/1/0249/3343/3419/products/P230109142332-Front-jpg-1.jpg?v=1673284026,1650,Bulgari Black Serpenti Forever Top Handle Bag with Gold Hardware,Bulgari,1
8022726115556,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230822125935-11-jpg-1.jpg?v=1692706036,2650,Chanel Hot Pink Coco Crush Mini Vanity Bag in Lambskin Leather with Brushed Gold Hardware,Chanel,2
7933300736228,https://cdn.shopify.com/s/files/1/0249/3343/3419/products/P230208111126-Front-jpg-1.jpg?v=1675859445,695,*FIRE PRICE* Chloe Brown Nile Leather Handbag with Gold Hardware,Chloe,3
8018253021412,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230809143137-Front-jpg-1.jpg?v=1691590136,3950,Christian Dior Medium Aqua Blue Python Lady Dior Bag with Silver Hardware,Christian Dior,4
7960481824996,https://cdn.shopify.com/s/files/1/0249/3343/3419/products/P230404123703-Front-jpg-1.jpg?v=1680616358,3450,Chanel Vintage Black Single Full Flap Bag in Lambskin with 24K Gold Hardware,Chanel,5
7975800307940,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230509155400-Side-JPEG-1.jpg?v=1687100622,150,Gucci Light Grey Small Rectangular Leather Clutch Bag,Europe,6
8020244332772,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230814132953-Front-jpg-1.jpg?v=1692018609,1350,Fendi Cream Vintage Baguette Bag In Leather With Gold Hardware and Rose Quartz Buckle Detail,DROPX100,7
7949688635620,https://cdn.shopify.com/s/files/1/0249/3343/3419/products/P230310162225-Side-JPEG-1.jpg?v=1678465669,6250,Louis Vuitton Python Capucines BB Bag with Gold Hardware,HOTDROP,8
7996458041572,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230623133219-Front-jpg-1.jpg?v=1687529855,6250,*HOT* Chanel Brown & Yellow Mini Rectangular Top Handle Flap Bag in Lambskin with Champagne Gold Hardware,Chanel,2
8027790770404,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230906112608-Front-jpg-1.jpg?v=1694103611,12450,Hermès Kelly 32cm Bag in Gris Sauge Clemence Leather with Gold Hardware,Hermes,3
7993018712292,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230619101040-Front-jpg-2.jpg?v=1687178560,565,Gucci Gold and Black Leather Guccy Mini Dome Sega Bag,ebay,4
8010584195300,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230722111330-Front-jpg-1.jpg?v=1690021630,3150,Chanel Navy Ombre East-West Bag in Calfskin Leather with Brushed Gold Hardware,Chanel,5
7967169970404,https://cdn.shopify.com/s/files/1/0249/3343/3419/products/P230420123445-Front-jpg-1.jpg?v=1681997296,4250,Chanel Trendy Coral Chevron Lambskin Top Handle Bag with Chain in Champagne Gold Hardware,Chanel,6
8003204841700,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230705152816-Front-jpg-9.jpg?v=1688568456,1450,Chanel Ultra Mini Black Jersey Fabric Cross-Body Bag with Champagne Gold Hardware,Chanel,7
7995416019172,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230621140610-Front-jpg-2.jpg?v=1687356145,1650,Louis Vuitton White with Velvet Black Monogram Urs Fischer Neverfull MM Tote Bag,Louis Vuitton,8
8024071799012,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230825132057-Front-jpg-1.jpg?v=1692968249,5250,*HOT* Chanel Black Mini Rectangular Single Flap Bag in Lambskin Leather with Silver Hardware,Chanel,1
7969231601892,https://cdn.shopify.com/s/files/1/0249/3343/3419/files/P230426162329-Side-jpg-1.jpg?v=1687100063,1350,*Limited Edition* Gucci Brown Monogram Medium Tote Bag with Geometric Print and Gold Hardware,FUNDAY,2
